DEBUG   |180905 12:34:15| -- Resetting Akeeba Engine factory (backend.id10)
DEBUG   |180905 12:34:15|Fetching filter data from database
DEBUG   |180905 12:34:15|Loading filters
DEBUG   |180905 12:34:15|-- Loading filter Directories
DEBUG   |180905 12:34:15|-- Loading filter Extradirs
DEBUG   |180905 12:34:15|-- Loading filter Files
DEBUG   |180905 12:34:15|-- Loading filter Incremental
DEBUG   |180905 12:34:15|-- Loading filter Multidb
DEBUG   |180905 12:34:15|-- Loading filter Regexdirectories
DEBUG   |180905 12:34:15|-- Loading filter Regexfiles
DEBUG   |180905 12:34:15|-- Loading filter Regexskipdirs
DEBUG   |180905 12:34:15|-- Loading filter Regexskipfiles
DEBUG   |180905 12:34:15|-- Loading filter Regextabledata
DEBUG   |180905 12:34:15|-- Loading filter Regextables
DEBUG   |180905 12:34:15|-- Loading filter Skipdirs
DEBUG   |180905 12:34:15|-- Loading filter Skipfiles
DEBUG   |180905 12:34:15|-- Loading filter Tabledata
DEBUG   |180905 12:34:15|-- Loading filter Tables
DEBUG   |180905 12:34:15|-- Loading filter Cvsfolders
DEBUG   |180905 12:34:15|-- Loading filter Excludefiles
DEBUG   |180905 12:34:15|-- Loading filter Excludefolders
DEBUG   |180905 12:34:15|-- Loading filter Excludetabledata
DEBUG   |180905 12:34:15|-- Loading filter Joomlaskipdirs
DEBUG   |180905 12:34:15|-- Loading filter Joomlaskipfiles
DEBUG   |180905 12:34:15|-- Loading filter Libraries
DEBUG   |180905 12:34:15|-- Loading filter Sitedb
DEBUG   |180905 12:34:15|-- Loading filter Siteroot
DEBUG   |180905 12:34:15|-- Loading filter Systemcachefiles
DEBUG   |180905 12:34:15|Loading optional filters
DEBUG   |180905 12:34:15|-- Loading optional filter Stack\StackErrorlogs
DEBUG   |180905 12:34:15|-- Loading optional filter Stack\StackHoststats
DEBUG   |180905 12:34:15|-- Loading optional filter Stack\StackFinder
DEBUG   |180905 12:34:15|-- Loading optional filter Stack\StackMyjoomla
DEBUG   |180906 15:48:28| -- Resetting Akeeba Engine factory (backend.id11)
DEBUG   |180906 15:48:28|Fetching filter data from database
DEBUG   |180906 15:48:28|Loading filters
DEBUG   |180906 15:48:28|-- Loading filter Directories
DEBUG   |180906 15:48:28|-- Loading filter Extradirs
DEBUG   |180906 15:48:28|-- Loading filter Files
DEBUG   |180906 15:48:28|-- Loading filter Incremental
DEBUG   |180906 15:48:28|-- Loading filter Multidb
DEBUG   |180906 15:48:28|-- Loading filter Regexdirectories
DEBUG   |180906 15:48:28|-- Loading filter Regexfiles
DEBUG   |180906 15:48:28|-- Loading filter Regexskipdirs
DEBUG   |180906 15:48:28|-- Loading filter Regexskipfiles
DEBUG   |180906 15:48:28|-- Loading filter Regextabledata
DEBUG   |180906 15:48:28|-- Loading filter Regextables
DEBUG   |180906 15:48:28|-- Loading filter Skipdirs
DEBUG   |180906 15:48:28|-- Loading filter Skipfiles
DEBUG   |180906 15:48:28|-- Loading filter Tabledata
DEBUG   |180906 15:48:28|-- Loading filter Tables
DEBUG   |180906 15:48:28|-- Loading filter Cvsfolders
DEBUG   |180906 15:48:28|-- Loading filter Excludefiles
DEBUG   |180906 15:48:28|-- Loading filter Excludefolders
DEBUG   |180906 15:48:28|-- Loading filter Excludetabledata
DEBUG   |180906 15:48:28|-- Loading filter Joomlaskipdirs
DEBUG   |180906 15:48:28|-- Loading filter Joomlaskipfiles
DEBUG   |180906 15:48:28|-- Loading filter Libraries
DEBUG   |180906 15:48:28|-- Loading filter Sitedb
DEBUG   |180906 15:48:28|-- Loading filter Siteroot
DEBUG   |180906 15:48:28|-- Loading filter Systemcachefiles
DEBUG   |180906 15:48:28|Loading optional filters
DEBUG   |180906 15:48:28|-- Loading optional filter Stack\StackErrorlogs
DEBUG   |180906 15:48:28|-- Loading optional filter Stack\StackHoststats
DEBUG   |180906 15:48:28|-- Loading optional filter Stack\StackFinder
DEBUG   |180906 15:48:28|-- Loading optional filter Stack\StackMyjoomla
DEBUG   |180912 09:51:57| -- Resetting Akeeba Engine factory (backend.id12)
DEBUG   |180912 09:51:57|Fetching filter data from database
DEBUG   |180912 09:51:57|Loading filters
DEBUG   |180912 09:51:57|-- Loading filter Directories
DEBUG   |180912 09:51:57|-- Loading filter Extradirs
DEBUG   |180912 09:51:57|-- Loading filter Files
DEBUG   |180912 09:51:57|-- Loading filter Incremental
DEBUG   |180912 09:51:57|-- Loading filter Multidb
DEBUG   |180912 09:51:57|-- Loading filter Regexdirectories
DEBUG   |180912 09:51:57|-- Loading filter Regexfiles
DEBUG   |180912 09:51:57|-- Loading filter Regexskipdirs
DEBUG   |180912 09:51:57|-- Loading filter Regexskipfiles
DEBUG   |180912 09:51:57|-- Loading filter Regextabledata
DEBUG   |180912 09:51:57|-- Loading filter Regextables
DEBUG   |180912 09:51:57|-- Loading filter Skipdirs
DEBUG   |180912 09:51:57|-- Loading filter Skipfiles
DEBUG   |180912 09:51:57|-- Loading filter Tabledata
DEBUG   |180912 09:51:57|-- Loading filter Tables
DEBUG   |180912 09:51:57|-- Loading filter Cvsfolders
DEBUG   |180912 09:51:57|-- Loading filter Excludefiles
DEBUG   |180912 09:51:57|-- Loading filter Excludefolders
DEBUG   |180912 09:51:57|-- Loading filter Excludetabledata
DEBUG   |180912 09:51:57|-- Loading filter Joomlaskipdirs
DEBUG   |180912 09:51:57|-- Loading filter Joomlaskipfiles
DEBUG   |180912 09:51:57|-- Loading filter Libraries
DEBUG   |180912 09:51:57|-- Loading filter Sitedb
DEBUG   |180912 09:51:57|-- Loading filter Siteroot
DEBUG   |180912 09:51:57|-- Loading filter Systemcachefiles
DEBUG   |180912 09:51:57|Loading optional filters
DEBUG   |180912 09:51:57|-- Loading optional filter Stack\StackErrorlogs
DEBUG   |180912 09:51:57|-- Loading optional filter Stack\StackHoststats
DEBUG   |180912 09:51:57|-- Loading optional filter Stack\StackFinder
DEBUG   |180912 09:51:57|-- Loading optional filter Stack\StackMyjoomla
